data_mes,municipio,categoria_macro,quantidade
2025-01-01,AFONSO CLAUDIO,objetos,5
2025-01-01,AFONSO CLAUDIO,patrimonial,10
2025-01-01,AFONSO CLAUDIO,violencia_social,12
2025-01-01,AGUA DOCE DO NORTE,patrimonial,1
2025-01-01,AGUA DOCE DO NORTE,violencia_social,2
2025-01-01,AGUIA BRANCA,digital,1
2025-01-01,AGUIA BRANCA,patrimonial,2
2025-01-01,AGUIA BRANCA,violencia_social,1
2025-01-01,ALEGRE,objetos,1
2025-01-01,ALEGRE,patrimonial,11
2025-01-01,ALEGRE,violencia_social,26
2025-01-01,ALFREDO CHAVES,digital,2
2025-01-01,ALFREDO CHAVES,patrimonial,4
2025-01-01,ALFREDO CHAVES,violencia_social,6
2025-01-01,ALTO RIO NOVO,patrimonial,2
2025-01-01,ALTO RIO NOVO,violencia_social,1
2025-01-01,ANCHIETA,digital,3
2025-01-01,ANCHIETA,objetos,2
2025-01-01,ANCHIETA,patrimonial,20
2025-01-01,ANCHIETA,violencia_social,25
2025-01-01,APIACA,objetos,1
2025-01-01,APIACA,patrimonial,2
2025-01-01,APIACA,violencia_social,1
2025-01-01,ARACRUZ,digital,6
2025-01-01,ARACRUZ,objetos,37
2025-01-01,ARACRUZ,patrimonial,70
2025-01-01,ARACRUZ,violencia_social,59
2025-01-01,ATILIO VIVACQUA,patrimonial,6
2025-01-01,BAIXO GUANDU,objetos,1
2025-01-01,BAIXO GUANDU,patrimonial,25
2025-01-01,BAIXO GUANDU,violencia_social,22
2025-01-01,BARRA DE SAO FRANCISCO,objetos,3
2025-01-01,BARRA DE SAO FRANCISCO,patrimonial,21
2025-01-01,BARRA DE SAO FRANCISCO,violencia_social,25
2025-01-01,BOA ESPERANCA,objetos,3
2025-01-01,BOA ESPERANCA,patrimonial,3
2025-01-01,BOA ESPERANCA,violencia_social,15
2025-01-01,BOM JESUS DO NORTE,patrimonial,2
2025-01-01,BOM JESUS DO NORTE,violencia_social,9
2025-01-01,BREJETUBA,patrimonial,4
2025-01-01,BREJETUBA,violencia_social,6
2025-01-01,CACHOEIRO DE ITAPEMIRIM,digital,2
2025-01-01,CACHOEIRO DE ITAPEMIRIM,objetos,30
2025-01-01,CACHOEIRO DE ITAPEMIRIM,patrimonial,178
2025-01-01,CACHOEIRO DE ITAPEMIRIM,violencia_social,111
2025-01-01,CARIACICA,digital,56
2025-01-01,CARIACICA,objetos,327
2025-01-01,CARIACICA,patrimonial,561
2025-01-01,CARIACICA,violencia_social,151
2025-01-01,CASTELO,digital,5
2025-01-01,CASTELO,objetos,7
2025-01-01,CASTELO,patrimonial,23
2025-01-01,CASTELO,violencia_social,10
2025-01-01,COLATINA,digital,14
2025-01-01,COLATINA,objetos,24
2025-01-01,COLATINA,patrimonial,131
2025-01-01,COLATINA,violencia_social,125
2025-01-01,CONCEICAO DA BARRA,digital,5
2025-01-01,CONCEICAO DA BARRA,objetos,9
2025-01-01,CONCEICAO DA BARRA,patrimonial,25
2025-01-01,CONCEICAO DA BARRA,violencia_social,12
2025-01-01,CONCEICAO DO CASTELO,objetos,2
2025-01-01,CONCEICAO DO CASTELO,patrimonial,10
2025-01-01,CONCEICAO DO CASTELO,violencia_social,5
2025-01-01,DIVINO DE SAO LOURENCO,violencia_social,3
2025-01-01,DOMINGOS MARTINS,objetos,1
2025-01-01,DOMINGOS MARTINS,patrimonial,7
2025-01-01,DOMINGOS MARTINS,violencia_social,9
2025-01-01,DORES DO RIO PRETO,patrimonial,2
