periodo_dia,municipio,categoria_macro,quantidade
MADRUGADA,AFONSO CLAUDIO,violencia_social,21
MADRUGADA,AFONSO CLAUDIO,patrimonial,7
MADRUGADA,AFONSO CLAUDIO,objetos,6
MANHA,AFONSO CLAUDIO,patrimonial,37
MANHA,AFONSO CLAUDIO,violencia_social,35
MANHA,AFONSO CLAUDIO,objetos,3
NOITE,AFONSO CLAUDIO,violencia_social,59
NOITE,AFONSO CLAUDIO,patrimonial,17
NOITE,AFONSO CLAUDIO,objetos,4
NOITE,AFONSO CLAUDIO,digital,1
TARDE,AFONSO CLAUDIO,patrimonial,57
TARDE,AFONSO CLAUDIO,violencia_social,46
TARDE,AFONSO CLAUDIO,objetos,4
TARDE,AFONSO CLAUDIO,digital,1
MADRUGADA,AGUA DOCE DO NORTE,violencia_social,3
MADRUGADA,AGUA DOCE DO NORTE,patrimonial,2
MANHA,AGUA DOCE DO NORTE,patrimonial,10
MANHA,AGUA DOCE DO NORTE,violencia_social,9
MANHA,AGUA DOCE DO NORTE,objetos,1
NOITE,AGUA DOCE DO NORTE,violencia_social,14
NOITE,AGUA DOCE DO NORTE,patrimonial,9
NOITE,AGUA DOCE DO NORTE,objetos,1
TARDE,AGUA DOCE DO NORTE,patrimonial,16
TARDE,AGUA DOCE DO NORTE,violencia_social,10
MADRUGADA,AGUIA BRANCA,violencia_social,4
MADRUGADA,AGUIA BRANCA,patrimonial,2
MADRUGADA,AGUIA BRANCA,digital,1
MANHA,AGUIA BRANCA,violencia_social,6
MANHA,AGUIA BRANCA,patrimonial,3
MANHA,AGUIA BRANCA,objetos,2
MANHA,AGUIA BRANCA,digital,1
NOITE,AGUIA BRANCA,violencia_social,7
NOITE,AGUIA BRANCA,patrimonial,2
TARDE,AGUIA BRANCA,violencia_social,12
TARDE,AGUIA BRANCA,patrimonial,6
MADRUGADA,ALEGRE,violencia_social,20
MADRUGADA,ALEGRE,patrimonial,17
MADRUGADA,ALEGRE,objetos,13
MANHA,ALEGRE,patrimonial,46
MANHA,ALEGRE,violencia_social,39
MANHA,ALEGRE,objetos,9
NOITE,ALEGRE,violencia_social,58
NOITE,ALEGRE,patrimonial,33
NOITE,ALEGRE,objetos,8
TARDE,ALEGRE,patrimonial,85
TARDE,ALEGRE,violencia_social,61
TARDE,ALEGRE,objetos,5
MADRUGADA,ALFREDO CHAVES,objetos,3
MADRUGADA,ALFREDO CHAVES,patrimonial,3
MADRUGADA,ALFREDO CHAVES,violencia_social,2
MADRUGADA,ALFREDO CHAVES,digital,1
MANHA,ALFREDO CHAVES,patrimonial,28
MANHA,ALFREDO CHAVES,violencia_social,14
MANHA,ALFREDO CHAVES,digital,6
MANHA,ALFREDO CHAVES,objetos,1
NOITE,ALFREDO CHAVES,violencia_social,16
NOITE,ALFREDO CHAVES,patrimonial,11
NOITE,ALFREDO CHAVES,objetos,7
NOITE,ALFREDO CHAVES,digital,3
TARDE,ALFREDO CHAVES,patrimonial,41
TARDE,ALFREDO CHAVES,violencia_social,18
TARDE,ALFREDO CHAVES,digital,6
TARDE,ALFREDO CHAVES,objetos,3
MADRUGADA,ALTO RIO NOVO,violencia_social,4
MADRUGADA,ALTO RIO NOVO,patrimonial,3
MANHA,ALTO RIO NOVO,patrimonial,14
MANHA,ALTO RIO NOVO,violencia_social,6
NOITE,ALTO RIO NOVO,violencia_social,11
NOITE,ALTO RIO NOVO,patrimonial,5
NOITE,ALTO RIO NOVO,objetos,1
TARDE,ALTO RIO NOVO,patrimonial,26
TARDE,ALTO RIO NOVO,violencia_social,20
MADRUGADA,ANCHIETA,patrimonial,38
MADRUGADA,ANCHIETA,violencia_social,26
MADRUGADA,ANCHIETA,objetos,10
MADRUGADA,ANCHIETA,digital,1
MANHA,ANCHIETA,patrimonial,62
MANHA,ANCHIETA,violencia_social,41
MANHA,ANCHIETA,digital,21
MANHA,ANCHIETA,objetos,4
NOITE,ANCHIETA,violencia_social,52
NOITE,ANCHIETA,patrimonial,38
NOITE,ANCHIETA,digital,9
NOITE,ANCHIETA,objetos,8
TARDE,ANCHIETA,patrimonial,106
TARDE,ANCHIETA,violencia_social,40
TARDE,ANCHIETA,digital,30
TARDE,ANCHIETA,objetos,20
MADRUGADA,APIACA,violencia_social,1
MANHA,APIACA,patrimonial,6
MANHA,APIACA,violencia_social,3
NOITE,APIACA,patrimonial,5
NOITE,APIACA,violencia_social,5
NOITE,APIACA,objetos,3
TARDE,APIACA,patrimonial,13
TARDE,APIACA,violencia_social,8
TARDE,APIACA,objetos,1
MADRUGADA,ARACRUZ,violencia_social,106
MADRUGADA,ARACRUZ,objetos,70
MADRUGADA,ARACRUZ,patrimonial,55
MADRUGADA,ARACRUZ,digital,4
MANHA,ARACRUZ,patrimonial,252
MANHA,ARACRUZ,violencia_social,132
