municipio,tipo_objeto,acao_objeto,quantidade
AFONSO CLAUDIO,APARELHOS TELEFONICOS,FURTADO,7
AFONSO CLAUDIO,VEICULO,FURTADO,5
AFONSO CLAUDIO,APARELHOS TELEFONICOS,ROUBADO,3
AFONSO CLAUDIO,VEICULO,ROUBADO,2
AGUA DOCE DO NORTE,VEICULO,FURTADO,2
AGUIA BRANCA,VEICULO,FURTADO,2
ALEGRE,APARELHOS TELEFONICOS,FURTADO,23
ALEGRE,BICICLETA,FURTADO,5
ALEGRE,VEICULO,FURTADO,5
ALEGRE,APARELHOS TELEFONICOS,ROUBADO,2
ALFREDO CHAVES,APARELHOS TELEFONICOS,FURTADO,12
ALFREDO CHAVES,BICICLETA,FURTADO,2
ALTO RIO NOVO,APARELHOS TELEFONICOS,FURTADO,1
ANCHIETA,APARELHOS TELEFONICOS,FURTADO,16
ANCHIETA,VEICULO,FURTADO,11
ANCHIETA,APARELHOS TELEFONICOS,ROUBADO,6
ANCHIETA,BICICLETA,FURTADO,5
ANCHIETA,VEICULO,ROUBADO,4
APIACA,APARELHOS TELEFONICOS,FURTADO,4
ARACRUZ,APARELHOS TELEFONICOS,FURTADO,148
ARACRUZ,APARELHOS TELEFONICOS,ROUBADO,55
ARACRUZ,VEICULO,FURTADO,45
ARACRUZ,BICICLETA,FURTADO,31
ARACRUZ,VEICULO,ROUBADO,24
ARACRUZ,BICICLETA,ROUBADO,2
ATILIO VIVACQUA,APARELHOS TELEFONICOS,FURTADO,6
ATILIO VIVACQUA,VEICULO,FURTADO,6
ATILIO VIVACQUA,BICICLETA,FURTADO,1
BAIXO GUANDU,VEICULO,FURTADO,19
BAIXO GUANDU,APARELHOS TELEFONICOS,FURTADO,11
BAIXO GUANDU,BICICLETA,FURTADO,8
BAIXO GUANDU,APARELHOS TELEFONICOS,ROUBADO,1
BAIXO GUANDU,VEICULO,ROUBADO,1
BARRA DE SAO FRANCISCO,APARELHOS TELEFONICOS,FURTADO,21
BARRA DE SAO FRANCISCO,VEICULO,FURTADO,20
BARRA DE SAO FRANCISCO,BICICLETA,FURTADO,15
BARRA DE SAO FRANCISCO,APARELHOS TELEFONICOS,ROUBADO,5
BARRA DE SAO FRANCISCO,VEICULO,ROUBADO,2
BOA ESPERANCA,APARELHOS TELEFONICOS,FURTADO,7
BOA ESPERANCA,APARELHOS TELEFONICOS,ROUBADO,6
BOA ESPERANCA,VEICULO,ROUBADO,3
BOA ESPERANCA,BICICLETA,FURTADO,2
BOM JESUS DO NORTE,APARELHOS TELEFONICOS,FURTADO,11
BOM JESUS DO NORTE,APARELHOS TELEFONICOS,ROUBADO,3
BOM JESUS DO NORTE,BICICLETA,FURTADO,2
BOM JESUS DO NORTE,BICICLETA,ROUBADO,1
BOM JESUS DO NORTE,VEICULO,FURTADO,1
BREJETUBA,APARELHOS TELEFONICOS,FURTADO,3
BREJETUBA,VEICULO,FURTADO,2
BREJETUBA,APARELHOS TELEFONICOS,ROUBADO,1
CACHOEIRO DE ITAPEMIRIM,APARELHOS TELEFONICOS,FURTADO,193
CACHOEIRO DE ITAPEMIRIM,VEICULO,FURTADO,70
CACHOEIRO DE ITAPEMIRIM,APARELHOS TELEFONICOS,ROUBADO,67
CACHOEIRO DE ITAPEMIRIM,VEICULO,ROUBADO,21
CACHOEIRO DE ITAPEMIRIM,BICICLETA,FURTADO,9
CARIACICA,APARELHOS TELEFONICOS,ROUBADO,1463
CARIACICA,APARELHOS TELEFONICOS,FURTADO,1016
CARIACICA,VEICULO,ROUBADO,386
CARIACICA,VEICULO,FURTADO,306
CARIACICA,BICICLETA,FURTADO,40
CARIACICA,BICICLETA,ROUBADO,18
CASTELO,APARELHOS TELEFONICOS,FURTADO,27
CASTELO,VEICULO,FURTADO,13
CASTELO,BICICLETA,FURTADO,7
COLATINA,APARELHOS TELEFONICOS,FURTADO,117
COLATINA,VEICULO,FURTADO,48
COLATINA,APARELHOS TELEFONICOS,ROUBADO,26
COLATINA,VEICULO,ROUBADO,10
COLATINA,BICICLETA,FURTADO,3
CONCEICAO DA BARRA,APARELHOS TELEFONICOS,FURTADO,34
CONCEICAO DA BARRA,BICICLETA,FURTADO,20
