fonte_dados,categoria_macro,genero,cor,idade,faixa_etaria,municipio,bairro,sexo,cutis
homicidios,violencia_social,1 MASCULINO,PARDA,45.0,45_54,VILA VELHA,JARDIM GUARANHUNS,,
homicidios,violencia_social,1 MASCULINO,PARDA,39.0,35_44,LINHARES,PONTAL DO IPIRANGA,,
homicidios,violencia_social,1 MASCULINO,PARDA,44.0,35_44,VILA VELHA,BARRAMARES,,
homicidios,violencia_social,1 MASCULINO,PARDA,17.0,15_17,DIVINO DE SAO LOURENCO,PATRIMONIO DA PENHA,,
homicidios,violencia_social,1 MASCULINO,PARDA,21.0,18_24,VIANA,SOTECO,,
homicidios,violencia_social,1 MASCULINO,BRANCA,43.0,35_44,SERRA,VILA NOVA DE COLARES,,
homicidios,violencia_social,2 FEMININO,NEGRA,40.0,35_44,SERRA,CENTRAL CARAPINA,,
homicidios,violencia_social,2 FEMININO,PARDA,19.0,18_24,SERRA,JOSE DE ANCHIETA,,
homicidios,violencia_social,1 MASCULINO,BRANCA,22.0,18_24,SOORETAMA,CENTRO,,
homicidios,violencia_social,1 MASCULINO,PARDA,36.0,35_44,CARIACICA,JARDIM BOTANICO,,
homicidios,violencia_social,1 MASCULINO,BRANCA,49.0,45_54,FUNDAO,CENTRO,,
homicidios,violencia_social,2 FEMININO,PARDA,51.0,45_54,SERRA,LARANJEIRAS VELHA,,
homicidios,violencia_social,2 FEMININO,BRANCA,17.0,15_17,CARIACICA,PADRE GABRIEL,,
homicidios,violencia_social,1 MASCULINO,PARDA,26.0,25_34,CARIACICA,RETIRO SAUDOSO,,
homicidios,violencia_social,1 MASCULINO,PARDA,22.0,18_24,LINHARES,NOVA BETHANIA,,
homicidios,violencia_social,1 MASCULINO,PARDA,22.0,18_24,VILA VELHA,RIO MARINHO,,
homicidios,violencia_social,1 MASCULINO,PARDA,30.0,25_34,MARATAIZES,ACAPULCO,,
homicidios,violencia_social,1 MASCULINO,PARDA,35.0,35_44,VITORIA,ESTRELINHA,,
homicidios,violencia_social,1 MASCULINO,PARDA,18.0,18_24,ALEGRE,RIVE,,
homicidios,violencia_social,1 MASCULINO,PARDA,51.0,45_54,VITORIA,CONQUISTA,,
homicidios,violencia_social,1 MASCULINO,PARDA,19.0,18_24,SERRA,BALNEARIO DE CARAPEBUS,,
homicidios,violencia_social,1 MASCULINO,BRANCA,41.0,35_44,VITORIA,ROMAO,,
homicidios,violencia_social,1 MASCULINO,BRANCA,37.0,35_44,JAGUARE,SAO ROQUE,,
homicidios,violencia_social,1 MASCULINO,BRANCA,35.0,35_44,CARIACICA,PORTO BELO,,
homicidios,violencia_social,1 MASCULINO,PARDA,22.0,18_24,COLATINA,QUINZE DE OUTUBRO,,
homicidios,violencia_social,1 MASCULINO,PARDA,37.0,35_44,BAIXO GUANDU,MASCARENHAS,,
homicidios,violencia_social,1 MASCULINO,PARDA,32.0,25_34,VITORIA,JUCUTUQUARA,,
homicidios,violencia_social,1 MASCULINO,PARDA,30.0,25_34,GOVERNADOR LINDENBERG,NOVA BRASILIA,,
homicidios,violencia_social,1 MASCULINO,PARDA,27.0,25_34,GOVERNADOR LINDENBERG,NOVA BRASILIA,,
homicidios,violencia_social,1 MASCULINO,PARDA,48.0,45_54,SAO MATEUS,GURIRI,,
homicidios,violencia_social,1 MASCULINO,PARDA,42.0,35_44,VITORIA,VILA RUBIM,,
homicidios,violencia_social,1 MASCULINO,BRANCA,39.0,35_44,VITORIA,GRANDE VITORIA,,
homicidios,violencia_social,1 MASCULINO,BRANCA,22.0,18_24,SERRA,CENTRAL CARAPINA,,
homicidios,violencia_social,1 MASCULINO,PARDA,36.0,35_44,VITORIA,COMDUSA,,
homicidios,violencia_social,1 MASCULINO,PARDA,28.0,25_34,VITORIA,SAO JOSE,,
homicidios,violencia_social,1 MASCULINO,PARDA,42.0,35_44,CACHOEIRO DE ITAPEMIRIM,AEROPORTO,,
homicidios,violencia_social,2 FEMININO,PARDA,40.0,35_44,COLATINA,NOSSA SENHORA APARECIDA,,
homicidios,violencia_social,1 MASCULINO,PARDA,40.0,35_44,SAO JOSE DO CALCADO,ALTO CALCADO,,
homicidios,violencia_social,1 MASCULINO,NEGRA,25.0,25_34,RIO BANANAL,SANTA HELENA,,
homicidios,violencia_social,1 MASCULINO,PARDA,25.0,25_34,ARACRUZ,SEGATO,,
homicidios,violencia_social,1 MASCULINO,PARDA,24.0,18_24,CARIACICA,CAMPO VERDE,,
homicidios,violencia_social,1 MASCULINO,PARDA,22.0,18_24,CARIACICA,CAMPO VERDE,,
homicidios,violencia_social,1 MASCULINO,PARDA,49.0,45_54,LINHARES,RIO QUARTEL,,
homicidios,violencia_social,1 MASCULINO,PARDA,47.0,45_54,VILA VELHA,RESIDENCIAL JABAETE,,
homicidios,violencia_social,1 MASCULINO,BRANCA,41.0,35_44,VIANA,MARCILIO DE NORONHA,,
homicidios,violencia_social,2 FEMININO,PARDA,50.0,45_54,MARECHAL FLORIANO,SOIDO DE BAIXO,,
homicidios,violencia_social,1 MASCULINO,PARDA,18.0,18_24,FUNDAO,CENTRO,,
homicidios,violencia_social,1 MASCULINO,PARDA,37.0,35_44,LINHARES,SANTA CRUZ,,
homicidios,violencia_social,1 MASCULINO,NEGRA,22.0,18_24,ARACRUZ,CUPIDO,,
homicidios,violencia_social,1 MASCULINO,NEGRA,47.0,45_54,ARACRUZ,CAIEIRA VELHA,,
homicidios,violencia_social,1 MASCULINO,PARDA,30.0,25_34,BARRA DE SAO FRANCISCO,IRMAOS FERNANDES,,
homicidios,violencia_social,1 MASCULINO,NEGRA,21.0,18_24,COLATINA,VILA AMELIA,,
homicidios,violencia_social,1 MASCULINO,NEGRA,16.0,15_17,SAO MATEUS,SAO BENEDITO,,
homicidios,violencia_social,1 MASCULINO,BRANCA,45.0,45_54,VILA VELHA,COBI DE BAIXO,,
homicidios,violencia_social,1 MASCULINO,PARDA,26.0,25_34,MONTANHA,SAO SEBASTIAO DO NORTE,,
homicidios,violencia_social,1 MASCULINO,NEGRA,43.0,35_44,VILA VELHA,GUARANHUNS,,
homicidios,violencia_social,2 FEMININO,PARDA,44.0,35_44,SERRA,DAS LARANJEIRAS,,
homicidios,violencia_social,1 MASCULINO,PARDA,27.0,25_34,LINHARES,SANTA CRUZ,,
homicidios,violencia_social,1 MASCULINO,PARDA,24.0,18_24,SOORETAMA,SALVADOR,,
homicidios,violencia_social,2 FEMININO,PARDA,49.0,45_54,ITAPEMIRIM,ROSA MEIRELES,,
homicidios,violencia_social,1 MASCULINO,PARDA,42.0,35_44,SAO MATEUS,SAO BENEDITO,,
homicidios,violencia_social,1 MASCULINO,BRANCA,24.0,18_24,VILA VELHA,PONTA DA FRUTA,,
homicidios,violencia_social,1 MASCULINO,BRANCA,30.0,25_34,SAO MATEUS,VITORIA,,
homicidios,violencia_social,2 FEMININO,PARDA,0.0,0_14,LINHARES,SANTA CRUZ,,
